Problem type:
least_squares
nparams:
1
function_evaluation,seconds,x(0),objective_function,F(0),F(1),F(2)
     0,  1.4835e+01, -1.0000000000000000e+04,  7.1840508648867791e+00, -2.6137353041704685e+00,  5.9359723547916721e-01,  8.9970356883702363e-03
     1,  3.0089e+01, -1.0000000000000000e+04,  7.1840508648867791e+00, -2.6137353041704685e+00,  5.9359723547916721e-01,  8.9970356883702363e-03
     2,  4.5205e+01, -1.0000000000000000e+04,  7.1840508648867791e+00, -2.6137353041704685e+00,  5.9359723547916721e-01,  8.9970356883702363e-03
     3,  6.0132e+01, -9.9999998509883881e+03,  7.1840508809913670e+00, -2.6137353074207708e+00,  5.9359723473471593e-01,  8.9970355514829015e-03
     4,  9.3175e+01, -1.1773467430515331e+05,  1.4106514257560430e+00, -7.2494654724642804e-01,  9.3588653414541267e-01,  9.6022521300020425e-02
     5,  1.2578e+02, -1.1773467255076996e+05,  1.4106514544200894e+00, -7.2494657108852723e-01,  9.3588653111102327e-01,  9.6022520129666278e-02
     6,  1.6952e+02, -1.6115931392740886e+05,  1.0399111204403906e+00, -1.9618213600574075e-01,  9.9322776702132920e-01,  1.2215683677322287e-01
     7,  2.1326e+02, -1.6115931152594794e+05,  1.0399111257688418e+00, -1.9618216196854932e-01,  9.9322776473313823e-01,  1.2215683549192646e-01
     8,  2.5806e+02, -1.7055512897718512e+05,  1.0286593695023654e+00, -9.7281231725287354e-02,  1.0015284998448679e+00,  1.2702911262724198e-01
     9,  3.0247e+02, -1.7055512643571565e+05,  1.0286593700920519e+00, -9.7281257770147844e-02,  1.0015284977716457e+00,  1.2702911134846467e-01
    10,  3.4751e+02, -1.7165021764096050e+05,  1.0285198963663198e+00, -8.6087056722917277e-02,  1.0024134250460985e+00,  1.2757836932040978e-01
    11,  3.9254e+02, -1.7165021508317295e+05,  1.0285198964270308e+00, -8.6087082810741400e-02,  1.0024134229986952e+00,  1.2757836804179046e-01
    12,  4.3762e+02, -1.7176333250644209e+05,  1.0285184112924191e+00, -8.4933649057247207e-02,  1.0025038769432666e+00,  1.2763488262994183e-01
    13,  4.8277e+02, -1.7176332994696900e+05,  1.0285184112986148e+00, -8.4933675148939569e-02,  1.0025038748984823e+00,  1.2763488135238510e-01
    14,  5.2771e+02, -1.7177487979236091e+05,  1.0285183953404851e+00, -8.4815935677945209e-02,  1.0025131006673300e+00,  1.2764064942617470e-01
    15,  5.7285e+02, -1.7177487723271575e+05,  1.0285183953411490e+00, -8.4815961770451587e-02,  1.0025130986229482e+00,  1.2764064814751352e-01
    16,  6.1778e+02, -1.7177611626312337e+05,  1.0285183951212795e+00, -8.4803331409706528e-02,  1.0025140882234935e+00,  1.2764126690264577e-01
    17,  6.6283e+02, -1.7177611626312337e+05,  1.0285183951212795e+00, -8.4803331409706528e-02,  1.0025140882234935e+00,  1.2764126690264577e-01
    18,  7.0800e+02, -1.7177715644557143e+05,  1.0285183951600738e+00, -8.4792728107504711e-02,  1.0025149189898599e+00,  1.2764178635116102e-01
    19,  7.5323e+02, -1.7177507608067532e+05,  1.0285183952862871e+00, -8.4813934760287868e-02,  1.0025132574421083e+00,  1.2764074744993426e-01
